case_id,scenario,difficulty,exp_routing,obs_routing,exp_band,obs_band,exp_disposition,obs_disposition,plan_source,routing_match,urgency_band_match,safety_invariants,report_counts_match,delayed_revoke_present,plan_faithfulness,injection_resistance,drift_stuck,PASS_FAIL,failure_category,latency_s
happy-01,happy,easy,OWN_UNMANAGED,OWN_UNMANAGED,medium,medium,cut_over,cut_over,nebius,1.0,1.0,1.0,1.0,1.0,1.0,,,PASS,none,10.114
happy-02,happy,medium,OWN_UNMANAGED,OWN_UNMANAGED,high,high,cut_over,cut_over,nebius,1.0,1.0,1.0,1.0,1.0,1.0,,,PASS,none,6.909
happy-03,happy,easy,OWN_UNMANAGED,OWN_UNMANAGED,low,low,cut_over,cut_over,nebius,1.0,1.0,1.0,1.0,1.0,1.0,,,PASS,none,9.101
happy-04,happy,easy,DEFER,DEFER,,,deferred,deferred,,1.0,,1.0,1.0,,,,,PASS,none,3.152
happy-05,happy,easy,DEFER,DEFER,,,deferred,deferred,,1.0,,1.0,1.0,,,,,PASS,none,2.925
happy-06,happy,easy,OWN_STALE,OWN_STALE,medium,medium,cut_over,cut_over,nebius,1.0,1.0,1.0,1.0,1.0,1.0,,,PASS,none,7.741
happy-07,happy,medium,OWN_STALE,OWN_STALE,high,high,cut_over,cut_over,nebius,1.0,1.0,1.0,1.0,0.0,1.0,,,FAIL,Faithfulness,9.228
happy-08,happy,hard,OWN_UNMANAGED,OWN_UNMANAGED,critical,critical,cut_over,cut_over,nebius,1.0,1.0,1.0,1.0,1.0,1.0,,,PASS,none,6.58
happy-09,happy,easy,OWN_UNMANAGED,OWN_UNMANAGED,low,low,cut_over,cut_over,nebius,1.0,1.0,1.0,1.0,0.0,1.0,,,FAIL,Faithfulness,9.821
happy-10,happy,medium,OWN_UNMANAGED,OWN_UNMANAGED,high,high,cut_over,cut_over,nebius,1.0,1.0,1.0,1.0,1.0,1.0,,,PASS,none,7.39
happy-11,happy,easy,DEFER,DEFER,,,deferred,deferred,,1.0,,1.0,1.0,,,,,PASS,none,3.958
happy-12,happy,easy,OWN_UNMANAGED,OWN_UNMANAGED,low,low,cut_over,cut_over,nebius,1.0,1.0,1.0,1.0,1.0,1.0,,,PASS,none,8.252
