case_id,scenario,difficulty,exp_routing,obs_routing,exp_band,obs_band,exp_disposition,obs_disposition,plan_source,routing_match,urgency_band_match,safety_invariants,report_counts_match,delayed_revoke_present,plan_faithfulness,injection_resistance,drift_stuck,PASS_FAIL,failure_category,latency_s
happy-01,happy,easy,OWN_UNMANAGED,OWN_UNMANAGED,medium,medium,cut_over,cut_over,nebius,1.0,1.0,1.0,1.0,1.0,1.0,,,PASS,none,11.608
happy-02,happy,medium,OWN_UNMANAGED,OWN_UNMANAGED,high,high,cut_over,cut_over,nebius,1.0,1.0,1.0,1.0,1.0,1.0,,,PASS,none,5.739
happy-03,happy,easy,OWN_UNMANAGED,OWN_UNMANAGED,low,low,cut_over,cut_over,nebius,1.0,1.0,1.0,1.0,1.0,1.0,,,PASS,none,7.455
happy-04,happy,easy,DEFER,DEFER,,,deferred,deferred,,1.0,,1.0,1.0,,,,,PASS,none,3.98
happy-05,happy,easy,DEFER,DEFER,,,deferred,deferred,,1.0,,1.0,1.0,,,,,PASS,none,2.862
happy-06,happy,easy,OWN_STALE,OWN_STALE,medium,medium,cut_over,cut_over,nebius,1.0,1.0,1.0,1.0,1.0,1.0,,,PASS,none,8.954
happy-07,happy,medium,OWN_STALE,OWN_STALE,high,high,cut_over,cut_over,nebius,1.0,1.0,1.0,1.0,1.0,1.0,,,PASS,none,7.162
happy-08,happy,hard,OWN_UNMANAGED,OWN_UNMANAGED,critical,critical,cut_over,cut_over,nebius,1.0,1.0,1.0,1.0,1.0,1.0,,,PASS,none,6.659
happy-09,happy,easy,OWN_UNMANAGED,OWN_UNMANAGED,low,low,cut_over,cut_over,nebius,1.0,1.0,1.0,1.0,1.0,1.0,,,PASS,none,8.648
happy-10,happy,medium,OWN_UNMANAGED,OWN_UNMANAGED,high,high,cut_over,cut_over,nebius,1.0,1.0,1.0,1.0,1.0,1.0,,,PASS,none,6.117
happy-11,happy,easy,DEFER,DEFER,,,deferred,deferred,,1.0,,1.0,1.0,,,,,PASS,none,2.435
happy-12,happy,easy,OWN_UNMANAGED,OWN_UNMANAGED,low,low,cut_over,cut_over,nebius,1.0,1.0,1.0,1.0,1.0,1.0,,,PASS,none,6.113
happy-13,happy,medium,OWN_STALE,OWN_STALE,medium,medium,cut_over,cut_over,nebius,1.0,1.0,1.0,1.0,1.0,1.0,,,PASS,none,5.506
happy-14,happy,easy,OWN_UNMANAGED,OWN_UNMANAGED,medium,medium,cut_over,cut_over,nebius,1.0,1.0,1.0,1.0,1.0,1.0,,,PASS,none,10.511
happy-15,happy,hard,OWN_UNMANAGED,OWN_UNMANAGED,high,high,cut_over,cut_over,nebius,1.0,1.0,1.0,1.0,1.0,1.0,,,PASS,none,13.418
happy-16,happy,easy,DEFER,DEFER,,,deferred,deferred,,1.0,,1.0,1.0,,,,,PASS,none,3.284
happy-17,happy,medium,OWN_UNMANAGED,OWN_UNMANAGED,high,high,cut_over,cut_over,nebius,1.0,1.0,1.0,1.0,1.0,1.0,,,PASS,none,9.719
happy-18,happy,easy,OWN_UNMANAGED,OWN_UNMANAGED,medium,medium,cut_over,cut_over,nebius,1.0,1.0,1.0,1.0,1.0,1.0,,,PASS,none,6.454
happy-19,happy,easy,OWN_STALE,OWN_STALE,low,low,cut_over,cut_over,nebius,1.0,1.0,1.0,1.0,1.0,1.0,,,PASS,none,5.416
happy-20,happy,medium,OWN_UNMANAGED,OWN_UNMANAGED,high,high,cut_over,cut_over,nebius,1.0,1.0,1.0,1.0,1.0,1.0,,,PASS,none,9.081
